mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.08734993934631348,0.01110485903042585,0.0055806636810302734,0.0018069525823194486,10,1,100,"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 100}",0.9473684210526315,0.9298245614035088,0.9824561403508771,0.9824561403508771,0.9107142857142857,0.950563909774436,0.028504571559800528,25
0.1993628978729248,0.01450115096455881,0.008287191390991211,0.004260381912880236,10,1,200,"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 200}",0.9473684210526315,0.9473684210526315,0.9824561403508771,0.9824561403508771,0.9107142857142857,0.9540726817042607,0.02676223523580128,1
0.2904350280761719,0.01101252619580195,0.0068871498107910155,0.0007859030561226564,10,1,300,"{'max_depth': 10, 'min_samples_leaf': 1, 'n_estimators': 300}",0.9473684210526315,0.9473684210526315,0.9824561403508771,0.9824561403508771,0.9107142857142857,0.9540726817042607,0.02676223523580128,1
0.10846185684204102,0.009669779852959214,0.004001712799072266,0.0013262290457046386,10,2,100,"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 100}",0.9473684210526315,0.9473684210526315,0.9824561403508771,0.9824561403508771,0.9107142857142857,0.9540726817042607,0.02676223523580128,1
0.1944589614868164,0.05000877072674808,0.005812406539916992,0.001841886446524493,10,2,200,"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 200}",0.9473684210526315,0.9473684210526315,0.9824561403508771,0.9824561403508771,0.9107142857142857,0.9540726817042607,0.02676223523580128,1
0.2727710723876953,0.012492958397401952,0.011631488800048828,0.0054192188054511085,10,2,300,"{'max_depth': 10, 'min_samples_leaf': 2, 'n_estimators': 300}",0.9473684210526315,0.9473684210526315,0.9824561403508771,0.9824561403508771,0.9107142857142857,0.9540726817042607,0.02676223523580128,1
0.0834991455078125,0.008842149276488756,0.0028632164001464845,0.0006571646196386191,10,4,100,"{'max_depth': 10, 'min_samples_leaf': 4, 'n_estimators': 100}",0.9473684210526315,0.9473684210526315,0.9824561403508771,0.9824561403508771,0.9107142857142857,0.9540726817042607,0.02676223523580128,1
0.18263659477233887,0.026105017896537464,0.02150301933288574,0.032463530859645165,10,4,200,"{'max_depth': 10, 'min_samples_leaf': 4, 'n_estimators': 200}",0.9473684210526315,0.9473684210526315,0.9824561403508771,0.9824561403508771,0.9107142857142857,0.9540726817042607,0.02676223523580128,1
0.2760938167572021,0.009455843020427254,0.011166000366210937,0.00457832731710019,10,4,300,"{'max_depth': 10, 'min_samples_leaf': 4, 'n_estimators': 300}",0.9473684210526315,0.9473684210526315,0.9824561403508771,0.9824561403508771,0.9107142857142857,0.9540726817042607,0.02676223523580128,1
0.09018640518188477,0.011981762367927183,0.0030948162078857423,0.0005694254420146152,25,1,100,"{'max_depth': 25, 'min_samples_leaf': 1, 'n_estimators': 100}",0.9473684210526315,0.9298245614035088,0.9824561403508771,0.9824561403508771,0.9107142857142857,0.950563909774436,0.028504571559800528,25
0.17923583984375,0.023331743078073938,0.007793903350830078,0.002929675788595216,25,1,200,"{'max_depth': 25, 'min_samples_leaf': 1, 'n_estimators': 200}",0.9473684210526315,0.9473684210526315,0.9824561403508771,0.9824561403508771,0.9107142857142857,0.9540726817042607,0.02676223523580128,1
0.28543481826782224,0.06751004898576927,0.006642723083496093,0.001155358088840083,25,1,300,"{'max_depth': 25, 'min_samples_leaf': 1, 'n_estimators': 300}",0.9473684210526315,0.9473684210526315,0.9824561403508771,0.9824561403508771,0.9107142857142857,0.9540726817042607,0.02676223523580128,1
0.08040404319763184,0.009522286911988982,0.003397703170776367,0.002015787208230411,25,2,100,"{'max_depth': 25, 'min_samples_leaf': 2, 'n_estimators': 100}",0.9473684210526315,0.9473684210526315,0.9824561403508771,0.9824561403508771,0.9107142857142857,0.9540726817042607,0.02676223523580128,1
0.19104523658752443,0.0423389211331212,0.006729793548583984,0.002894540444047101,25,2,200,"{'max_depth': 25, 'min_samples_leaf': 2, 'n_estimators': 200}",0.9473684210526315,0.9473684210526315,0.9824561403508771,0.9824561403508771,0.9107142857142857,0.9540726817042607,0.02676223523580128,1
0.2867215633392334,0.053553472161786964,0.008420753479003906,0.0029803340986010894,25,2,300,"{'max_depth': 25, 'min_samples_leaf': 2, 'n_estimators': 300}",0.9473684210526315,0.9473684210526315,0.9824561403508771,0.9824561403508771,0.9107142857142857,0.9540726817042607,0.02676223523580128,1
0.07929458618164062,0.014429492358383597,0.0032894134521484373,0.001177630060654981,25,4,100,"{'max_depth': 25, 'min_samples_leaf': 4, 'n_estimators': 100}",0.9473684210526315,0.9473684210526315,0.9824561403508771,0.9824561403508771,0.9107142857142857,0.9540726817042607,0.02676223523580128,1
0.16777310371398926,0.013266584995553318,0.006066703796386718,0.0013280149985103254,25,4,200,"{'max_depth': 25, 'min_samples_leaf': 4, 'n_estimators': 200}",0.9473684210526315,0.9473684210526315,0.9824561403508771,0.9824561403508771,0.9107142857142857,0.9540726817042607,0.02676223523580128,1
0.2765685558319092,0.02564060984731523,0.010396671295166016,0.0030543342063808062,25,4,300,"{'max_depth': 25, 'min_samples_leaf': 4, 'n_estimators': 300}",0.9473684210526315,0.9473684210526315,0.9824561403508771,0.9824561403508771,0.9107142857142857,0.9540726817042607,0.02676223523580128,1
0.08013472557067872,0.018419410173798546,0.0036670207977294923,0.0012847352026809057,30,1,100,"{'max_depth': 30, 'min_samples_leaf': 1, 'n_estimators': 100}",0.9473684210526315,0.9298245614035088,0.9824561403508771,0.9824561403508771,0.9107142857142857,0.950563909774436,0.028504571559800528,25
0.18058719635009765,0.01987215385285236,0.007419157028198242,0.002716157179459127,30,1,200,"{'max_depth': 30, 'min_samples_leaf': 1, 'n_estimators': 200}",0.9473684210526315,0.9473684210526315,0.9824561403508771,0.9824561403508771,0.9107142857142857,0.9540726817042607,0.02676223523580128,1
0.24586992263793944,0.020598534722606605,0.008081817626953125,0.0031937195735391257,30,1,300,"{'max_depth': 30, 'min_samples_leaf': 1, 'n_estimators': 300}",0.9473684210526315,0.9473684210526315,0.9824561403508771,0.9824561403508771,0.9107142857142857,0.9540726817042607,0.02676223523580128,1
0.08737177848815918,0.011491142090676736,0.004448223114013672,0.0018033810571359424,30,2,100,"{'max_depth': 30, 'min_samples_leaf': 2, 'n_estimators': 100}",0.9473684210526315,0.9473684210526315,0.9824561403508771,0.9824561403508771,0.9107142857142857,0.9540726817042607,0.02676223523580128,1
0.17545104026794434,0.025178068904232485,0.007182550430297851,0.004118611772400613,30,2,200,"{'max_depth': 30, 'min_samples_leaf': 2, 'n_estimators': 200}",0.9473684210526315,0.9473684210526315,0.9824561403508771,0.9824561403508771,0.9107142857142857,0.9540726817042607,0.02676223523580128,1
0.22719755172729492,0.031787817128286454,0.006739616394042969,0.001463746815608217,30,2,300,"{'max_depth': 30, 'min_samples_leaf': 2, 'n_estimators': 300}",0.9473684210526315,0.9473684210526315,0.9824561403508771,0.9824561403508771,0.9107142857142857,0.9540726817042607,0.02676223523580128,1
0.08468289375305176,0.01112564043561662,0.00316004753112793,0.0007788775029665151,30,4,100,"{'max_depth': 30, 'min_samples_leaf': 4, 'n_estimators': 100}",0.9473684210526315,0.9473684210526315,0.9824561403508771,0.9824561403508771,0.9107142857142857,0.9540726817042607,0.02676223523580128,1
0.16553688049316406,0.00929128305399679,0.005954933166503906,0.002804366201869047,30,4,200,"{'max_depth': 30, 'min_samples_leaf': 4, 'n_estimators': 200}",0.9473684210526315,0.9473684210526315,0.9824561403508771,0.9824561403508771,0.9107142857142857,0.9540726817042607,0.02676223523580128,1
0.18817243576049805,0.013208782130469058,0.005501937866210937,0.00017354071569278642,30,4,300,"{'max_depth': 30, 'min_samples_leaf': 4, 'n_estimators': 300}",0.9473684210526315,0.9473684210526315,0.9824561403508771,0.9824561403508771,0.9107142857142857,0.9540726817042607,0.02676223523580128,1
